Library Name,Library ID,Address,Contact Info,Services
Valittukirjasto: Malmin kirjasto,84859,"Ala-Malmin tori 1, 00700 Helsinki",malmin_kirjasto@hel.fi,"Avoinna lauantaisin              


            Celia-verkkoasiakkaaksi rekisteröityminen          



            Digituki          



            E-opas          



            Enter ry:n opastukset          



            Itsepalvelutulostus          



            Kahvilat ja ravintolat          



            Kirjakierrätyspiste          


                  Koirat kielletty              


            Korttimaksumahdollisuus          



            Käteismaksumahdollisuus          



            Lajitelma ulkopelejä          



            Langaton verkko (Wi-Fi)          



            Valkokangas | E-kirjasto (e-kirjat, äänikirjat, digilehdet)          



            Ekohylly          



            Lautapelit          


                  Malmi-kokoelma              


            Sateenkaarihylly | 3D-tulostin          



            Dataprojektori          



            E-lehtitabletti          



            Hublet-asema (6 lainattavaa tablettia)          



            Kopiokoneet (väri)          



            Kosteusmittarit          


                  Kävelysauvat              


            Liukuri          



            Lyömäsoitinlaukku          



            Muistikortinlukija          



            Nokkakärryt          



            NYT-liikuntakortti          



            Pelikonsolit          



            Pulkka          



            Radonmittari          



            Skanneri          



            Sähkönkulutusmittarit          



            Tietokoneet          



            Vastamelukuulokkeet          



            Vesivaaka | Lukusali          



            Monitoimitila          



            Näyttelytilat          



            Työhuone"
Valittukirjasto: Malminkartanon kirjasto,84866,"Puustellintie 6, 00410 Helsinki",malminkartanon_kirjasto@hel.fi,"Avoinna lauantaisin          



            Celia-verkkoasiakkaaksi rekisteröityminen          



            Digituki          


                  Itsepalvelulainaus ja -palautus              

                  Itsepalvelutulostus              


            Kirjakierrätys          


                  Koirat sallittu              

                  Korttimaksumahdollisuus              

                  Kouluyhteistyö, kirjastonkäytön opetus ja kiertokäynnit              


            Langaton verkko (Wi-Fi)          



            Lukupiirit          



            Paristojen kierrätyspiste          



            Ulkopelit | E-kirjasto (e-kirjat, äänikirjat, digilehdet)          



            Ekohylly          


                  Lautapelit              


            Sateenkaarihylly | Energiankulutusmittari              


            Grilli          



            Kannettavat tietokoneet          



            Kopiokone (väri)          



            Kuulokkeet          


                  Kävelysauvat              


            Latauskaappi kännykälle          



            Levykeasemat          



            Liikuntavälineet          



            Mediatyöasema          



            Playstation 5          



            Rakenneilmaisin          



            Roskapihdit          



            Skanneri          



            Sähkönkulutusmittarit          



            Tietokoneet          



            Tulostin (väri)"
Valittukirjasto: Martinlaakson kirjasto,84876,"Laajaniityntie 3, 01620 Vantaa",martinlaakso.kirjasto@vantaa.fi,"Avoinna lauantaisin          



            Celia-verkkoasiakkaaksi rekisteröityminen          


                  Itsepalvelulainaus ja -palautus              


            Itsepalvelutulostus          



            Kirjakierrätys          



            Kirjapaketit perheille          


                  Koirat sallittu              


            Langaton verkko (Wi-Fi)          



            Lukupiiri          



            Ulkopelit          



            Varausten itsepalvelunouto | Digilehtien lukupiste          



            Energiankulutusmittari          



            Erilliset näppäimistöt          



            Kannettavat tietokoneet          



            Kopiokoneet          



            Latauslaitteet          



            Pelikonsolit          


                  Roskapihdit              


            Skannerit          



            Tulostimet | E-kirjasto (e-kirjat, äänikirjat, digilehdet)          



            Lehdet          



            Sateenkaarihylly | Työhuone"
Valittukirjasto: Maunulan kirjasto,84857,"Metsäpurontie 4, 00630 Helsinki",maunulan_kirjasto@hel.fi,"Digilehtien lukupiste          



            Kannettavat tietokoneet          



            Kopiokone          



            Kävelysauvat          



            Liikuntavälineet          



            Monitoimilaite (kopiointi, skannaus, tulostus)          



            Roskapihdit          



            Skanneri          



            Sydäniskuri          



            Tablettitietokoneet          



            Tietokoneet          



            Ukulele | E-kirjasto (e-kirjat, äänikirjat, digilehdet)          



            Ekohylly          



            Lautapelit          



            Lehdet          



            Sateenkaarihylly | Avoinna lauantaisin              


            Celia-verkkoasiakkaaksi rekisteröityminen          



            Digituki          



            Itsepalvelutulostus          



            Kahvilat          



            Kaukopalvelu          



            Kirjakierrätys          


                  Koirat sallittu              


            Korttimaksumahdollisuus          



            Langaton verkko (Wi-Fi)          



            Lukupiirit          



            Päiväkoti- ja kouluyhteistyö, kirjastonkäytön opastus          



            Ulkopelit | Bänditila          



            Kokoustila Betoni          



            Kokoustila Sini          



            Ryhmätila Akvaario"
Valittukirjasto: Kirjastoauto Espoo,84791,"Kulttuuriaukio 2, 02100 Espoo",kirjastoautot@espoo.fi,"Elämysauto Välkky tapahtumissa          



            Koulu- ja päiväkotiyhteistyö, kirjastonkäytön opetus ja ryhmäkäynnit | E-kirjasto (e-kirjat, äänikirjat, digilehdet)"
Valittukirjasto: Kirjastoauto Helsinki,84884,"Rautatieläisenkatu 8, 00520 Helsinki",kirjastoautot@hel.fi,"E-kirjasto (e-kirjat, äänikirjat, digilehdet)"
Valittukirjasto: Kirjastoauto Vantaa,84926,"Lummetie 4, 01300 Vantaa",auto.kirjasto@vantaa.fi,"Kaukopalvelu          



            Kirjapaketit perheille          


                  Koirat sallittu              


            Koulujen ja päiväkotien aineistopaketit ja ekaluokkalaisvierailut          



            Ulkopelit | Energiankulutusmittari              

                  Lainausautomaatti              

                  Roskapihdit | E-kirjasto (e-kirjat, äänikirjat, digilehdet)          



            Lautapelit          


                  Lehdet"
Valittukirjasto: Mosaiikin kirjasto,86659,"Vantaankoskentie 69, 01700 Vantaa",mosaiikki.kirjasto@vantaa.fi,"Avoinna lauantaisin          



            Celia-verkkoasiakkaaksi rekisteröityminen          



            Erityispalvelut          



            Kaukopalvelu          



            Kirjakierrätys          



            Koirat sallittu          



            Langaton verkko (Wi-Fi)          



            Lukupiirit          



            Pöytäpaikka | 3D-tulostimet          



            Digilehtien lukupisteet          



            Erilliset näppäimistöt          



            Filmiskannerit          



            Kannettavat tietokoneet          



            Lainausautomaatit          



            Mediatyöasema          



            Monitoimilaite          



            Ompelukoneet          



            Palautushyllyt          



            Saumurit (2 kpl)          



            Teollisuusompelukone          



            Varaushyllyt          



            Vyyhdinpuut ja kerijälaite | E-kirjasto (e-kirjat, äänikirjat, digilehdet)          



            Lautapelit          



            Lehdet          



            Sateenkaarihylly | Digikoppi          



            Näyttelytila          



            Perhetila          



            Puhelinkoppi          



            Ryhmätila          



            Työskentelytila          



            Varattavien tilojen käyttösäännöt"
Valittukirjasto: Monikielinen kirjasto,84923,"Kellosilta 9, 00520 Helsinki",monikielinen.kirjasto@hel.fi,"E-kirjasto (e-kirjat, äänikirjat, digilehdet)          



            Monikielisen kirjaston palvelut          



            PressReader-lehtipalvelu | Kaukopalvelu"
Valittukirjasto: Munkkiniemen kirjasto,84867,"Riihitie 22, 00330 Helsinki",munkkiniemen_kirjasto@hel.fi,"Digilehtien lukupiste          



            Kirkasvalolamput          



            Kopiokone (väri)          



            Kuulokkeet          



            Lainaus- ja palautusautomaatit          



            Paperisilppuri          



            Poranteräsarja          



            Poravasara          



            Roskapihdit          



            Senioriliikuntareppu          



            Skanneri          



            Tietokoneet          



            Tulostin (väri) | Aalto-kokoelma          



            E-kirjasto (e-kirjat, äänikirjat, digilehdet)          



            Ekohylly          



            Lautapelit          



            Lehdet          



            Sateenkaarihylly | Avoinna lauantaisin          



            Celia-verkkoasiakkaaksi rekisteröityminen          



            Digituki          



            Enter ry:n opastukset          



            Itsepalvelutulostus          



            Kahviautomaatti          



            Koirat sallittu          



            Korttimaksumahdollisuus          



            Koulu- tai päiväkotiyhteistyö          



            Langaton verkko (Wi-Fi)          



            Lukukoira          



            Lukupiirit          



            Näyttelyvitriini          



            Palautusluukku          



            Paristojen kierrätyspiste          



            PuMu:n kausikortit          



            Satutunnit          



            ToPo:n kausikortit          



            Ulkopelejä"
Valittukirjasto: Myllypuron kirjasto,84883,"Kiviparintie 2, 00920 Helsinki",myllypuron_kirjasto@hel.fi,"Avoinna lauantaisin          


                  Celia-verkkoasiakkaaksi rekisteröityminen              


            Digiopastus ajanvarauksella          



            Itsepalvelutulostus          



            Koirat sallittu          



            Korttimaksumahdollisuus          



            Langaton verkko (Wi-Fi)          



            Lukukoirat          



            Omatoimiaika          



            Omatoimikirjasto          



            Varausten itsepalvelunouto | Aktiivikortti          



            Digitaalipiano          



            E-lehtien lukulaitteet          



            Kannettavat tietokoneet          



            Kopiokone (väri)          



            Kuulokkeet          



            Kännykän laturi          



            Lainausautomaatti          



            Palautusautomaatti          



            Roskapihdit          



            Sateenvarjo          



            Senioriliikuntareppu          



            Skannerit          



            Tietokoneet          



            Tulostin (väri) | Asiakaskeittiö          



            Kokoustila          



            Minitila          



            Musiikkihuone          



            Näyttelytila          



            Vaunuparkki          



            Vauvanhoitohuone | E-kirjasto (e-kirjat, äänikirjat, digilehdet)          



            Lehdet"
Valittukirjasto: Myllypuron palvelukeskuskirjasto,84755,"Myllymatkantie 4, 00920 Helsinki",itakeskuksen_kirjasto@hel.fi,"E-kirjasto (e-kirjat, äänikirjat, digilehdet)"
Valittukirjasto: Myyrmäen kirjasto,84920,"Paalutori 3, 01600 Vantaa",myyrmaki.kirjasto@vantaa.fi,"Lukusali | Digilehtien lukupiste          



            Energiankulutusmittari          



            Kannettavat tietokoneet          



            Kopiokoneet (väri)          



            Lainausautomaatti          



            Palautusautomaatti          



            Pelikonsolit          



            Roskapihdit          



            Skannerit          



            Tablettitietokoneet          



            Tietokoneet | Avoinna lauantaisin          



            Avoinna sunnuntaisin          



            Celia-verkkoasiakkaaksi rekisteröityminen          



            Digituki          



            Enter ry:n opastukset          



            Itsepalvelutulostus          



            Kirjapaketit perheille          



            Koirat kielletty          



            Langaton verkko (Wi-Fi)          



            Lukukoira          



            Varausten itsepalvelunouto | E-kirjasto (e-kirjat, äänikirjat, digilehdet)          



            Lautapelit"
Valittukirjasto: Nöykkiön kirjasto,84915,"Oxfotintie 4, 02330 Espoo",kirjasto.noykkio@espoo.fi,"Kopiokone (väri)          


                  Paperisilppuri              


            Pelikonsolit          


                  Roskapihdit              


            Skanneri          



            Tietokoneet          



            Tulostin (väri) | Avoinna lauantaisin          



            Avoinna sunnuntaisin          



            Celia-verkkoasiakkaaksi rekisteröityminen          



            Digituki          



            Itsepalvelutulostus          



            Kaukopalvelu          



            Kirjakierrätyspiste          



            Koirat sallittu          



            Korttimaksumahdollisuus          



            Koulu- ja päiväkotiyhteistyö, kirjastonkäytön opetus ja ryhmäkäynnit          



            Langaton verkko (Wi-Fi)          



            Omatoimikirjasto          



            Palautusluukku | E-kirjasto (e-kirjat, äänikirjat, digilehdet)          


                  Lautapelit              


            Lehdet | Monitoimitila          



            Pelihuone"
Valittukirjasto: Otaniemen kirjasto,86654,"Tietotie 6, 02150 Espoo",kirjasto.otaniemi@espoo.fi,"Avoinna lauantaisin          



            Avoinna sunnuntaisin          



            Celia-verkkoasiakkaaksi rekisteröityminen          



            Digituki          



            Kaukopalvelu          



            Kirjakierrätyspiste          



            Koirat sallittu          



            Korttimaksumahdollisuus          



            Koulu- ja päiväkotiyhteistyö, kirjastonkäytön opetus ja ryhmäkäynnit          



            Langaton verkko          



            Omatoimikirjasto | Kopiokoneet (väri)          



            Skannerit          



            Tietokoneet          



            Tulostimet (väri) | Lukusalit          



            Neuvotteluhuone Karhunpesä | E-kirjasto (e-kirjat, äänikirjat, digilehdet)"
Valittukirjasto: Oulunkylän kirjasto,84862,"Kylänvanhimmantie 27, 00640 Helsinki",oulunkylan_kirjasto@hel.fi,"Avoinna lauantaisin              


            Celia-verkkoasiakkaaksi rekisteröityminen          



            Digituki          



            Enter ry:n opastukset          



            Itsepalvelutulostus          



            Kirjakierrätyspiste          


                  Koirat sallittu              


            Korttimaksumahdollisuus          



            Langaton verkko (Wi-Fi)          



            Ulkopelit          



            Valkokangas | 3D-tulostimet          



            Dataprojektori          



            Digilehtien lukupiste          



            Digitaalipiano          



            Infrapunalämpömittari          



            Kannettavat tietokoneet          



            Kopiokone (väri)          



            Kosteusmittari          



            Laminointilaite          



            Liikuntavälineet          



            Lämpöilmaisin          



            Nokkakärryt          



            Pelikonsoli          



            Radonmittari          



            Rakenneilmaisin          



            Rytmisoitinpussi          



            Skanneri          



            Tablettitietokoneet          



            Tietokoneet          



            Ukulele          



            Vinyylileikkuri ja lämpöprässi | E-kirjasto (e-kirjat, äänikirjat, digilehdet)          



            Ekohylly          



            Lautapelit          



            Sateenkaarihylly | Kokoustila          



            Näyttelytila"
Valittukirjasto: Pähkinärinteen kirjasto,84877,"Mantelikuja 4, 01710 Vantaa",pahkinarinne.kirjasto@vantaa.fi,"Celia-verkkoasiakkaaksi rekisteröityminen          


                  Itsepalvelulainaus ja -palautus              


            Kirjapaketit perheille          


                  Koirat sallittu              


            Langaton verkko (Wi-Fi)          



            Omatoimikirjasto          


                  Varausten itsepalvelunouto | E-kirjasto (e-kirjat, äänikirjat, digilehdet)          



            Lehdet          



            Sateenkaarihylly"
Valittukirjasto: Paloheinän kirjasto,84852,"Paloheinäntie 22, 00670 Helsinki",paloheinan_kirjasto@hel.fi,"E-kirjasto (e-kirjat, äänikirjat, digilehdet)          



            Ekohylly          



            Lasten- ja perhelautapelit          



            Lehdet          



            Sateenkaarihylly | Kannettavat tietokoneet          



            Kopiokone          



            Monitoimilaite (tulostus, kopiointi, skannaus)          



            Muistikortinlukija          



            Skanneri          


                  Sydäniskuri              


            Tietokoneet | Avoinna lauantaisin          



            Celia-verkkoasiakkaaksi rekisteröityminen          



            Digituki          



            Itsepalvelutulostus          


                  Kahviautomaatti              


            Kaukopalvelu          


                  Koirat kielletty              

                  Lainaus- ja palautusautomaatit              


            Langaton verkko (Wi-Fi)          



            Lukupiiri          



            Omatoimikirjasto          



            Päiväkoti- ja kouluyhteistyö, kirjastonkäytön opastus | Hiljainen työskentelytila              


            Monitoimitila Sysi          



            Näyttelytila          



            Ryhmätyötila Valkea"
Valittukirjasto: Pasilan kirjasto,84924,"Kellosilta 9, 00520 Helsinki",tietopalvelu.pasila@hel.fi,"3D-tulostin          



            Desibelimittarit          



            Digitaalipiano          



            Digitointiasema          



            DVD-asema          



            E-lehtien lukupiste          



            Energiankulutusmittari          



            Erilliset näppäimistöt          



            Kopiokone (väri)          


                  Lainausautomaatti              


            Laminointilaite          



            Latauslaitteet          



            Lämpöprässi          



            Mikrofilmiskanneri          



            Mikrokortin/filmin lukulaitteet (skannaus ja tulostus)          



            Muistikortinlukija          



            Ompelukone          


                  Palautusautomaatti              


            Radonmittarit          


                  Rollaattori              

                  Roskapihdit              


            Rytmikassi          



            Saumuri          



            Skanneri          



            Suurkuvatulostin          


                  Sydäniskuri              

                  Tietokoneet              


            Tulostin (väri)          



            Ukulele          



            Vinyylileikkuri | Auditorio          



            Kokoushuone Oppisoppi          


                  Lehtilukusalit              


            Lukusali          



            Musiikkistudio          



            Näyttelytila          



            Ryhmätyötila 1          



            Ryhmätyötila 2 | E-kirjasto (e-kirjat, äänikirjat, digilehdet)          



            Helmet-kirjavarasto          



            Helsinki-kokoelma          



            Lautapelit          



            Sateenkaarihylly | Avoinna lauantaisin              


            Celia-verkkoasiakkaaksi rekisteröityminen          



            Digituki          



            Erityispalvelut          



            Itsepalvelutulostus          


                  Kierrätyspiste paristoille              


            Kirjakierrätys          



            Koirat kielletty          



            Korttimaksumahdollisuus          



            Kouluyhteistyö, kirjastonkäytön opetus ja kiertokäynnit          


                  Käteismaksumahdollisuus              


            Lainaus-ja palautusautomaatit          



            Langaton verkko (Wi-Fi)          



            Musiikin kuuntelu          



            Satutunnit          



            Äänitysstudio ja digitointi"
Valittukirjasto: Pikku Huopalahden lastenkirjasto,84855,"Tilkankatu 19, 00300 Helsinki",pikkuhuopalahden_kirjasto@hel.fi,"E-kirjasto (e-kirjat, äänikirjat, digilehdet) | Korttimaksumahdollisuus          



            Langaton verkko (Wi-Fi)"
Valittukirjasto: Pitäjänmäen kirjasto,84865,"Jousipolku 1, 00370 Helsinki",pitajanmaen_kirjasto@hel.fi,"Dataprojektori          


                  Energiankulutusmittari              

                  Kopiokone (väri)              


            Laminointilaite          



            Ompelukone          



            Skanneri          



            Tietokoneet          


                  Tulostin (väri) | Avoinna lauantaisin              


            Digituki          



            Enter ry:n opastukset          


                  Itsepalvelulainaus ja -palautus              

                  Itsepalvelutulostus              

                  Kahviautomaatti              

                  Koirat sallittu              

                  Korttimaksumahdollisuus              

                  Kouluyhteistyö, kirjastonkäytön opetus ja kiertokäynnit              


            Langaton verkko (Wi-Fi)          



            Valkokangas | E-kirjasto (e-kirjat, äänikirjat, digilehdet)          


                  Lautapelit              


            Sateenkaarihylly | Monitoimitila          



            Näyttelytila          



            Ryhmätyötila"
Valittukirjasto: Pohjois-Haagan kirjasto,84879,"Kaupintie 4, 00440 Helsinki",pohjois-haagan_kirjasto@hel.fi,"E-kirjasto (e-kirjat, äänikirjat, digilehdet)          



            Ekohylly          


                  Kotiseutukokoelma              

                  Lautapelit              

                  Lehdet              

                  Pelit              


            Sateenkaarihylly | E-lehtien lukulaitteet          


                  Eläinten kuljetusboksi              


            Erilliset näppäimistöt          


                  Grilli              

                  Iskuporakone              


            Kirkasvalolamppu          



            Kopiokone          



            Kuntoiluvälineet          



            Kuulokkeet          


                  Kävelysauvat              


            Liikuntavälineet          


                  Lumikengät              


            Muistikortinlukijat          


                  Nokkakärryt              

                  Paperisilppuri              

                  Roskapihdit              


            Skanneri          


                  Sähkönkulutusmittarit              

                  Tietokoneet              


            Tikkaat          



            Tulostimet (väri) | Avoinna lauantaisin          


                  Digituki              


            Enter ry:n opastukset          


                  Itsepalvelulainaus ja -palautus              

                  Kahviautomaatti              


            Kaukopalvelu          



            Kierrätyspiste tavaroille          



            Kirjakierrätyspiste          


                  Koirat sallittu              

                  Korttimaksumahdollisuus              

                  Käteismaksumahdollisuus              


            Langaton verkko (Wi-Fi)          


                  Lukupiirit              

                  Palapelien vaihtopiste              

                  Paristojen kierrätyspiste              

                  Satutunnit              

                  Tietotekniikkaopastus              

                  Ulkopelit              

                  Varausten itsepalvelunouto | Näyttelyvitriini"
Valittukirjasto: Pointin kirjasto,84882,"Hagelstamintie 1, 01520 Vantaa",point.kirjasto@vantaa.fi,"E-kirjasto (e-kirjat, äänikirjat, digilehdet)          



            Lehdet | Celia-verkkoasiakkaaksi rekisteröityminen          


                  Itsepalvelulainaus ja -palautus              


            Itsepalvelutulostus          



            Keittiöpiste ja kahviautomaatti          



            Kirjakierrätys          



            Kirjapaketit perheille          


                  Koirat sallittu              


            Langaton verkko Vantaa Avoin          



            Omatoimikirjasto          



            Varausten itsepalvelunouto | Energiankulutusmittari          



            Kopiokone          



            Roskapihdit          



            Temppukassi          



            Tietokoneet          



            Tulostin | Näyttelytila          



            Työhuone"
Valittukirjasto: Psykiatriakeskuksen potilaskirjasto,84762,"Välskärinkatu 12, 00250 Helsinki",psykiatriakeskuksen.potilaskirjasto@hel.fi,"Tietokoneet | E-kirjasto (e-kirjat, äänikirjat, digilehdet)"
Valittukirjasto: Puistolan kirjasto,84853,"Nurkkatie 2, 00760 Helsinki",puistolan_kirjasto@hel.fi,"E-kirjasto (e-kirjat, äänikirjat, digilehdet)          



            Ekohylly          



            Lautapelit          



            Sateenkaarihylly | Digilehtien lukupiste          



            Energiankulutusmittari          



            Kopiokone (väri)          



            Kuntoiluvälineet          



            Pintalämpömittarit          



            Radonmittarit          



            Skanneri          



            Tietokoneet          



            Tulostin (väri) | Avoinna lauantaisin          



            Celia-verkkoasiakkaaksi rekisteröityminen          



            Digituki          



            Enter ry:n opastukset          



            Kirjakierrätyspiste          



            Koirat sallittu          



            Korttimaksumahdollisuus          



            Langaton verkko (Wi-Fi)          



            Lukupiirit          



            Palautusluukku | Näyttelytila"
Valittukirjasto: Pukinmäen kirjasto,84858,"Kenttäkuja 12, 00720 Helsinki",pukinmaen_kirjasto@hel.fi,"E-kirjasto (e-kirjat, äänikirjat, digilehdet)          


                  Lautapelejä              


            Sateenkaarihylly | Kopiokone (väri)          



            Kuntoiluvälineet          



            Muistikortinlukija          



            Skanneri          


                  Sähkönkulutusmittarit              


            Tietokoneet          



            Tulostin (väri) | Avoinna lauantaisin paitsi kesäaikaan.              

                  Digituki              


            Kirjakierrätyspiste          


                  Koirat sallittu              


            Langaton verkko (Wi-Fi)          



            Palautusluukku | Näyttelytila"
Valittukirjasto: Riistavuoren palvelukeskuskirjasto,84763,"Isonnevantie 28, 00320 Helsinki",liisa.varri@hel.fi,"E-kirjasto (e-kirjat, äänikirjat, digilehdet)"
Valittukirjasto: Rikhardinkadun kirjasto,84912,"Rikhardinkatu 3, 00130 Helsinki",rikhardinkadun_kirjasto@hel.fi,"Asiakirjojen hävittäminen          



            Digilehtien lukupiste          



            Digitaalipiano          



            Erilliset näppäimistöt          



            Kopiokone          



            Lainaus- ja palautusautomaatit          



            Latauslaitteet          



            Roskapihdit          



            Skanneri          



            Tablettitietokoneet          



            Tietokoneet | Kokoustila Ture          



            Kokoustila Tyko          



            Lehtilukusali          



            Lukusali          



            Näyttelytila Galleria Arthur          



            Näyttelytila Galleria Rikhard          



            Näyttelytila Hyllygalleria Hyvinpieni          



            Näyttelytila Käytävägalleria          



            Rikun Kesäpiha          



            Ryhmätila Aurora          



            Satuhuone | E-kirjasto (e-kirjat, äänikirjat, digilehdet)          



            Kotiseutukokoelma          



            Lautapelit          



            Sateenkaarihylly          



            Taidekerros          



            Taidelehtikokoelma          



            Taiteilijakirjakokoelma | Avoinna lauantaisin              

                  Avoinna sunnuntaisin              


            Celia-verkkoasiakkaaksi rekisteröityminen          



            Digituki          



            E-opas          



            Enter ry:n opastukset          



            Itsepalvelutulostus          



            Kirjakierrätys          


                  Koirat sallittu              


            Langaton verkko (Wi-Fi)          



            Taidelainaus"
Valittukirjasto: Roihuvuoren kirjasto,84868,"Roihuvuorentie 2, 00820 Helsinki",roihuvuoren_kirjasto@hel.fi,"Energiankulutusmittari          



            Kannettavat tietokoneet          



            Kopiokone          



            Liikuntavälineet          



            Pelikonsolit          



            Poravasara Makita HR2630TJ          


                  Roskapihdit              


            Taustamelua vähentävät kuulokkeet          



            Tietokoneet | Avoinna lauantaisin          



            Celia-verkkoasiakkaaksi rekisteröityminen          



            Digituki          



            Itsepalvelutulostus          



            Kausikortit Roihuttarien otteluihin          



            Kirjakierrätyspiste          



            Koirat sallittu          



            Korttimaksumahdollisuus          



            Langaton verkko (Wi-Fi)          



            Palautusluukku | E-kirjasto (e-kirjat, äänikirjat, digilehdet)          



            Ekohylly          



            Lautapelit          



            Sateenkaarihylly"
Valittukirjasto: Roihuvuoren palvelukeskuskirjasto,84767,"Punahilkantie 16, 00820 Helsinki",itakeskuksen_kirjasto@hel.fi,"E-kirjasto (e-kirjat, äänikirjat, digilehdet)"
Valittukirjasto: Venäjänkielinen kirjasto,86000,"Leppävaarankatu 9, 02600 Espoo",N/A,N/A
Valittukirjasto: Sakarinmäen lastenkirjasto,84856,"Knutersintie 924, 00890 Helsinki",sakarinmaen_lastenkirjasto@hel.fi,"E-kirjasto (e-kirjat, äänikirjat, digilehdet) | Itsepalvelulainaus ja -palautus              

                  Kouluyhteistyö, kirjastonkäytön opetus ja kiertokäynnit"
Valittukirjasto: Saunalahden kirjasto,84917,"Brinkinmäentie 1, 02330 Espoo",kirjasto.saunalahti@espoo.fi,"Avoinna lauantaisin          



            Avoinna sunnuntaisin          



            Digituki          



            Kaukopalvelu          



            Kirjakierrätys          



            Koirat sallittu          



            Korttimaksumahdollisuus          



            Koulu- ja päiväkotiyhteistyö, kirjastonkäytön opetus ja ryhmäkäynnit          



            Langaton verkko          



            Omatoimikirjasto          



            Varausten itsepalvelunouto | E-kirjasto (e-kirjat, äänikirjat, digilehdet)          



            Lautapelit          



            Lehdet | Kopiokoneet (väri)          



            Lainaus- ja palautusautomaatit          



            Skannerit          



            Tietokoneet          



            Tulostimet (väri)"
Valittukirjasto: Sellon kirjasto,84925,"Leppävaarankatu 9, 02600 Espoo",sellonkirjasto@espoo.fi,"3D-tulostin          



            Digitaalipiano          



            Flyygeli          



            Kopiokoneet (väri)          



            Lainattavat esineet          



            Lainattavat tietokoneet          



            Lainaus- ja palautusautomaatit          



            Laseretäisyysmittari          



            Liikuntavälineet          



            Mediatyöasema          



            Ompelukoneet          



            Pelikonsolit          



            Skanneri          



            Soittimet          



            Sähkönkulutusmittarit          



            Tuhottavien paperien säiliö          



            Tulostimet (väri)          



            Työkalut          



            Ukulele          



            Verenpainemittari          



            Vinyylileikkuri | Avoinna lauantaisin              

                  Avoinna sunnuntaisin              


            Biljardi          



            Celia-verkkoasiakkaaksi rekisteröityminen          



            Digituki          



            Elokuvaesitykset          



            Enter ry:n opastukset          



            Espoon kaupungin asiointipiste          



            Itsepalvelutulostus          



            Kahvilat          



            Kaukopalvelu          



            Kirjakierrätyspiste          



            Koirat sallittu          



            Korttimaksumahdollisuus          



            Koulu- ja päiväkotiyhteistyö, kirjastonkäytön opetus ja ryhmäkäynnit          



            Langaton verkko (Wi-Fi)          



            Lasten palvelut          



            Palapelien vaihtohylly          



            Palautusluukku          



            Tapahtuman järjestäminen kirjastossa          



            Varausten itsepalvelunouto | E-kirjasto (e-kirjat, äänikirjat, digilehdet)          


                  ePress-lehtipalvelu              


            Lautapelit          



            Lehdet          


                  PressReader-lehtipalvelu              

                  Promentor-kielikurssit              


            Rockway-musiikkikurssit | Akseli-sali          



            Galleria Anna ja näyttelyvitriini          



            Jaminurkka          



            Kokoushuone Mauri          



            Kokoustila Elina          



            Kulttuuritila          



            Lava ja aula          



            Lukutilat          



            Musiikkistudio          



            Paja          



            Soittohuoneet          



            Tilojen varaaminen"
Valittukirjasto: Suomenlinnan kirjasto,84871,"Suomenlinna C 31, 00190 Helsinki",suomenlinnan_kirjasto@hel.fi,"E-kirjasto (e-kirjat, äänikirjat, digilehdet)          



            Suomenlinna-kokoelma | Kopiokone (väri)          



            Nokkakärryt          



            Skanneri          



            Tietokoneet          



            Tulostin (väri) | Digituki          



            Koirat sallittu          



            Langaton verkko (Wi-Fi)          



            Omatoimikirjasto | Näyttelytila"
Valittukirjasto: Suurpellon kirjasto,86407,"Lillhemtintie 1 (Opinmäki, B-noppa), 02250 Espoo",kirjasto.suurpelto@espoo.fi,"Kopiokone          



            Skannerit          



            Tietokoneet          



            Tulostimet (väri) | Avoinna lauantaisin          



            Avoinna sunnuntaisin          



            Kaukopalvelu          



            Kirjakierrätys          



            Koirat sallittu          



            Korttimaksumahdollisuus          



            Koulu- ja päiväkotiyhteistyö, kirjastonkäytön opetus ja ryhmäkäynnit          



            Langaton verkko          



            Lasten palvelut          



            Omatoimikirjasto          



            Varausten itsepalvelunouto | E-kirjasto (e-kirjat, äänikirjat, digilehdet)          



            Lehdet"
Valittukirjasto: Suutarilan kirjasto,84881,"Seulastentie 11, 00740 Helsinki",suutarilan_kirjasto@hel.fi,"Celia-verkkoasiakkaaksi rekisteröityminen          



            Digituki          



            Enter ry:n opastukset          



            Itsepalvelutulostus          



            Kirjakierrätyspiste          


                  Koirat sallittu              


            Korttimaksumahdollisuus          



            Langaton verkko          



            Palautusluukku          



            Varausten itsepalvelunouto | E-kirjasto (e-kirjat, äänikirjat, digilehdet)          



            Sateenkaarihylly | Kopiokoneet (väri)          



            Lehdenlukutabletit          



            Skannerit          


                  Sähkönkulutusmittarit              


            Tietokoneet          



            Tulostimet (väri)"
Valittukirjasto: Tapanilan kirjasto,84776,"Hiidenkiventie 21, 00730 Helsinki",tapanilan_kirjasto@hel.fi,"E-kirjasto (e-kirjat, äänikirjat, digilehdet)          



            Lautapelit          



            Sateenkaarihylly | 3D-tulostimet          


                  E-lehtien lukulaitteet              


            Kopiokone (väri)          



            Roskapihdit          



            Skanneri          



            Tietokoneet          



            Tulostin (väri) | Digituki              


            Kirjakierrätyspiste          


                  Koirat sallittu              

                  Korttimaksumahdollisuus              


            Langaton verkko (Wi-Fi)          



            Palautusluukku"
